timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
311860092,-2.4785538,-2.021519,0.109396696,0.10364802,0.0,0.0,1.0,0.0080871945,0.09205704
312862155,-2.4436977,-1.9817121,0.11236328,0.10403379,0.0,0.0,1.0,-0.019008365,0.09132735
313870819,-2.4203043,-1.9512106,0.120730855,0.11006429,0.0,0.0,1.0,-0.05090581,0.090651214
314873191,-2.4159286,-1.9420276,0.13220263,0.11969517,0.0,0.0,1.0,0.015863063,0.0903232
315877864,-2.4067774,-1.9490507,0.1318819,0.11938661,0.0,0.0,1.0,0.105012625,0.09028518
316880864,-2.3464,-1.9192824,0.14059658,0.13062985,0.0,0.0,1.0,0.11186546,0.09041447
317886278,-2.3133218,-1.9017262,0.14788182,0.13988115,0.0,0.0,1.0,0.06510823,0.09032078
318896221,-2.254635,-1.8585879,0.15430777,0.14903635,0.0,0.0,1.0,0.12678196,0.09070972
319906057,-2.1323164,-1.7531766,0.15212692,0.15049219,0.0,0.0,1.0,0.10874802,0.091327555
320913987,-1.979175,-1.6095134,0.14401284,0.14471692,0.0,0.0,1.0,0.18042274,0.09177643
321924232,-1.8398927,-1.4726201,0.13809545,0.13946562,0.0,0.0,1.0,0.1922228,0.09164408
322929849,-1.6511577,-1.2823159,0.13531311,0.13640262,0.0,0.0,1.0,0.12728053,0.09141932
323943341,-1.6035984,-1.232009,0.13722399,0.13733399,0.0,0.0,1.0,0.07105805,0.09083827
324949910,-1.5422387,-1.1614546,0.1420486,0.1404284,0.0,0.0,1.0,0.051768072,0.09047814
