timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
190881743,4.7211914,0.0,0,0,1,0,1,0,0
191383326,4.740527,0.0,0,0,1,0,1,0,0
191884150,4.714746,0.0,0,0,1,0,1,0,0
192381625,4.740527,0.0,0,0,1,0,1,0,0
192881760,4.7211914,0.0,0,0,1,0,1,0,0
193383762,4.7211914,0.0,0,0,1,0,1,0,0
193892103,4.701855,0.0,0,0,1,0,1,0,0
194392384,4.4956055,0.0,0,0,1,0,1,0,0
194891776,4.614844,0.0,0,0,1,0,1,0,0
195393928,4.637402,0.0,0,0,1,0,1,0,0
195891742,4.508496,0.0,0,0,1,0,1,0,0
196395791,4.688965,0.0,0,0,1,0,1,0,0
196891808,4.701855,0.0,0,0,1,0,1,0,0
197393828,4.701855,0.0,0,0,1,0,1,0,0
197891821,4.727637,0.0,0,0,1,0,1,0,0
198403002,4.701855,0.0,0,0,1,0,1,0,0
198901773,4.714746,0.0,0,0,1,0,1,0,0
199401958,4.688965,0.0,0,0,1,0,1,0,0
199901919,4.6954103,0.0,0,0,1,0,1,0,0
200414501,4.740527,0.0,0,0,1,0,1,0,0
200922396,4.688965,0.0,0,0,1,0,1,0,0
201421747,4.5342774,0.0,0,0,1,0,1,0,0
201921620,4.688965,0.0,0,0,1,0,1,0,0
202422004,4.6696286,0.0,0,0,1,0,1,0,0
202921681,4.4311523,0.0,0,0,1,0,1,0,0
203435164,4.676074,0.0,0,0,1,0,1,0,0
203932253,4.6599607,0.0,0,0,1,0,1,0,0
204442626,4.676074,0.0,0,0,1,0,1,0,0
204945932,4.705078,0.0,0,0,1,0,1,0,0
205442749,4.714746,0.0,0,0,1,0,1,0,0
205953346,4.6438475,0.0,0,0,1,0,1,0,0
206453273,4.640625,0.0,0,0,1,0,1,0,0
206951759,4.4440427,0.0,0,0,1,0,1,0,0
207463232,4.6438475,0.0,0,0,1,0,1,0,0
207962954,4.637402,0.0,0,0,1,0,1,0,0
208461620,4.387646,0.0,0,0,1,0,1,0,0
208974998,4.676074,0.0,0,0,1,0,1,0,0
209473255,4.637402,0.0,0,0,1,0,1,0,0
209971768,4.434375,0.0,0,0,1,0,1,0,0
210471617,4.7727537,0.0,0,0,1,0,1,0,0
210971879,4.714746,0.0,0,0,1,0,1,0,0
211471628,4.484326,0.0,0,0,1,0,1,0,0
211981884,4.679297,0.0,0,0,1,0,1,0,0
212485281,4.727637,0.0,0,0,1,0,1,0,0
212983624,4.637402,0.0,0,0,1,0,1,0,0
213483510,4.705078,0.0,0,0,1,0,1,0,0
213991745,4.714746,0.0,0,0,1,0,1,0,0
214492877,4.714746,0.0,0,0,1,0,1,0,0
214992102,4.7211914,0.0,0,0,1,0,1,0,0
215492103,4.714746,0.0,0,0,1,0,1,0,0
215991889,4.7083006,0.0,0,0,1,0,1,0,0
216501968,4.688965,0.0,0,0,1,0,1,0,0
217001632,4.5407224,0.0,0,0,1,0,1,0,0
217502412,4.566504,0.0,0,0,1,0,1,0,0
218001620,4.5987306,0.0,0,0,1,0,1,0,0
218502006,4.4827147,0.0,0,0,1,0,1,0,0
219001630,4.6631837,0.0,0,0,1,0,1,0,0
219503135,4.701855,0.0,0,0,1,0,1,0,0
220001617,4.4698243,0.0,0,0,1,0,1,0,0
220505125,4.740527,0.0,0,0,1,0,1,0,0
221001631,4.740527,0.0,0,0,1,0,1,0,0
221505857,4.5342774,0.0,0,0,1,0,1,0,0
222001622,4.701855,0.0,0,0,1,0,1,0,0
222503622,4.637402,0.0,0,0,1,0,1,0,0
223011617,4.547168,0.0,0,0,1,0,1,0,0
223511770,4.650293,0.0,0,0,1,0,1,0,0
224011803,4.637402,0.0,0,0,1,0,1,0,0
224511800,4.5342774,0.0,0,0,1,0,1,0,0
225023297,4.637402,0.0,0,0,1,0,1,0,0
225523619,4.637402,0.0,0,0,1,0,1,0,0
226022274,4.547168,0.0,0,0,1,0,1,0,0
226523643,4.6954103,0.0,0,0,1,0,1,0,0
227025698,4.688965,0.0,0,0,1,0,1,0,0
227521749,4.7211914,0.0,0,0,1,0,1,0,0
228024053,4.714746,0.0,0,0,1,0,1,0,0
228521742,4.727637,0.0,0,0,1,0,1,0,0
229033391,4.727637,0.0,0,0,1,0,1,0,0
229531771,4.714746,0.0,0,0,1,0,1,0,0
230033407,4.701855,0.0,0,0,1,0,1,0,0
230532765,4.637402,0.0,0,0,1,0,1,0,0
231032763,4.6631837,0.0,0,0,1,0,1,0,0
231531859,4.6921873,0.0,0,0,1,0,1,0,0
232035088,4.740527,0.0,0,0,1,0,1,0,0
232532695,4.7469726,0.0,0,0,1,0,1,0,0
233032086,4.7083006,0.0,0,0,1,0,1,0,0
233542014,4.74375,0.0,0,0,1,0,1,0,0
234042883,4.7083006,0.0,0,0,1,0,1,0,0
234541825,4.688965,0.0,0,0,1,0,1,0,0
235045089,4.7211914,0.0,0,0,1,0,1,0,0
235541739,4.688965,0.0,0,0,1,0,1,0,0
236054233,4.508496,0.0,0,0,1,0,1,0,0
236552916,4.716357,0.0,0,0,1,0,1,0,0
237052803,4.7211914,0.0,0,0,1,0,1,0,0
237551815,4.611621,0.0,0,0,1,0,1,0,0
238053223,4.688965,0.0,0,0,1,0,1,0,0
238551750,4.727637,0.0,0,0,1,0,1,0,0
239054961,4.5375,0.0,0,0,1,0,1,0,0
239551626,4.753418,0.0,0,0,1,0,1,0,0
240052750,4.714746,0.0,0,0,1,0,1,0,0
240551625,4.7211914,0.0,0,0,1,0,1,0,0
241061827,4.7179685,0.0,0,0,1,0,1,0,0
241561622,4.740527,0.0,0,0,1,0,1,0,0
242061741,4.5342774,0.0,0,0,1,0,1,0,0
242563480,4.7663083,0.0,0,0,1,0,1,0,0
243071774,4.740527,0.0,0,0,1,0,1,0,0
243571911,4.508496,0.0,0,0,1,0,1,0,0
244073044,4.688965,0.0,0,0,1,0,1,0,0
244571646,4.676074,0.0,0,0,1,0,1,0,0
245071739,4.463379,0.0,0,0,1,0,1,0,0
245571617,4.740527,0.0,0,0,1,0,1,0,0
246083427,4.688965,0.0,0,0,1,0,1,0,0
246582338,4.685742,0.0,0,0,1,0,1,0,0
247082002,4.753418,0.0,0,0,1,0,1,0,0
247582451,4.7663083,0.0,0,0,1,0,1,0,0
248081778,4.572949,0.0,0,0,1,0,1,0,0
248585721,4.7663083,0.0,0,0,1,0,1,0,0
249091838,4.7598634,0.0,0,0,1,0,1,0,0
249591817,4.7663083,0.0,0,0,1,0,1,0,0
250092064,4.7856445,0.0,0,0,1,0,1,0,0
250593153,4.753418,0.0,0,0,1,0,1,0,0
251094212,4.7211914,0.0,0,0,1,0,1,0,0
251595279,4.7663083,0.0,0,0,1,0,1,0,0
252093505,4.688965,0.0,0,0,1,0,1,0,0
252595236,4.688965,0.0,0,0,1,0,1,0,0
253091794,4.740527,0.0,0,0,1,0,1,0,0
253593271,4.740527,0.0,0,0,1,0,1,0,0
254094106,4.753418,0.0,0,0,1,0,1,0,0
254595492,4.740527,0.0,0,0,1,0,1,0,0
255092098,4.740527,0.0,0,0,1,0,1,0,0
255604987,4.740527,0.0,0,0,1,0,1,0,0
256101755,4.740527,0.0,0,0,1,0,1,0,0
256603450,4.5600586,0.0,0,0,1,0,1,0,0
257111907,4.740527,0.0,0,0,1,0,1,0,0
257612112,4.740527,0.0,0,0,1,0,1,0,0
258111747,4.553613,0.0,0,0,1,0,1,0,0
258613231,4.7469726,0.0,0,0,1,0,1,0,0
259111977,4.650293,0.0,0,0,1,0,1,0,0
259612184,4.5858397,0.0,0,0,1,0,1,0,0
260111737,4.7469726,0.0,0,0,1,0,1,0,0
260622915,4.6631837,0.0,0,0,1,0,1,0,0
261121742,4.727637,0.0,0,0,1,0,1,0,0
261621755,4.753418,0.0,0,0,1,0,1,0,0
262121617,4.753418,0.0,0,0,1,0,1,0,0
262631739,4.727637,0.0,0,0,1,0,1,0,0
263131617,4.7179685,0.0,0,0,1,0,1,0,0
263634867,4.7469726,0.0,0,0,1,0,1,0,0
264131693,4.701855,0.0,0,0,1,0,1,0,0
264642829,4.7211914,0.0,0,0,1,0,1,0,0
265141655,4.5697265,0.0,0,0,1,0,1,0,0
265644241,4.727637,0.0,0,0,1,0,1,0,0
266141617,4.740527,0.0,0,0,1,0,1,0,0
266642483,4.740527,0.0,0,0,1,0,1,0,0
267151621,4.740527,0.0,0,0,1,0,1,0,0
267651773,4.740527,0.0,0,0,1,0,1,0,0
268151807,4.4956055,0.0,0,0,1,0,1,0,0
268651778,4.650293,0.0,0,0,1,0,1,0,0
269151620,4.740527,0.0,0,0,1,0,1,0,0
269651931,4.514941,0.0,0,0,1,0,1,0,0
270151886,4.740527,0.0,0,0,1,0,1,0,0
270651751,4.779199,0.0,0,0,1,0,1,0,0
271164168,4.547168,0.0,0,0,1,0,1,0,0
271661748,4.740527,0.0,0,0,1,0,1,0,0
272163489,4.753418,0.0,0,0,1,0,1,0,0
272672030,4.779199,0.0,0,0,1,0,1,0,0
273172043,4.779199,0.0,0,0,1,0,1,0,0
273684856,4.547168,0.0,0,0,1,0,1,0,0
274192117,4.7663083,0.0,0,0,1,0,1,0,0
274691619,4.74375,0.0,0,0,1,0,1,0,0
275191796,4.5600586,0.0,0,0,1,0,1,0,0
275691636,4.7566404,0.0,0,0,1,0,1,0,0
276203737,4.753418,0.0,0,0,1,0,1,0,0
276701626,4.740527,0.0,0,0,1,0,1,0,0
277201797,4.7663083,0.0,0,0,1,0,1,0,0
277702104,4.7663083,0.0,0,0,1,0,1,0,0
278211859,4.7663083,0.0,0,0,1,0,1,0,0
278713983,4.7469726,0.0,0,0,1,0,1,0,0
279211784,4.7663083,0.0,0,0,1,0,1,0,0
279713202,4.7469726,0.0,0,0,1,0,1,0,0
280211884,4.740527,0.0,0,0,1,0,1,0,0
280713442,4.688965,0.0,0,0,1,0,1,0,0
281212300,4.790478,0.0,0,0,1,0,1,0,0
281711778,4.7663083,0.0,0,0,1,0,1,0,0
282211813,4.740527,0.0,0,0,1,0,1,0,0
282712483,4.7727537,0.0,0,0,1,0,1,0,0
283211625,4.727637,0.0,0,0,1,0,1,0,0
283722309,4.5342774,0.0,0,0,1,0,1,0,0
284221620,4.714746,0.0,0,0,1,0,1,0,0
284722082,4.727637,0.0,0,0,1,0,1,0,0
285221626,4.572949,0.0,0,0,1,0,1,0,0
285722018,4.727637,0.0,0,0,1,0,1,0,0
286221621,4.650293,0.0,0,0,1,0,1,0,0
286732362,4.572949,0.0,0,0,1,0,1,0,0
287232085,4.701855,0.0,0,0,1,0,1,0,0
287731803,4.6696286,0.0,0,0,1,0,1,0,0
288233425,4.701855,0.0,0,0,1,0,1,0,0
288731762,4.740527,0.0,0,0,1,0,1,0,0
289243869,4.6631837,0.0,0,0,1,0,1,0,0
289741748,4.7598634,0.0,0,0,1,0,1,0,0
290244054,4.727637,0.0,0,0,1,0,1,0,0
290741755,4.7083006,0.0,0,0,1,0,1,0,0
291241765,4.5858397,0.0,0,0,1,0,1,0,0
291741794,4.701855,0.0,0,0,1,0,1,0,0
292246201,4.701855,0.0,0,0,1,0,1,0,0
292752663,4.5407224,0.0,0,0,1,0,1,0,0
293252939,4.701855,0.0,0,0,1,0,1,0,0
293751617,4.701855,0.0,0,0,1,0,1,0,0
294251822,4.5375,0.0,0,0,1,0,1,0,0
294761663,4.740527,0.0,0,0,1,0,1,0,0
295271986,4.5858397,0.0,0,0,1,0,1,0,0
295771742,4.740527,0.0,0,0,1,0,1,0,0
