timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
217747126,0,396809,0.25820228,-0.26841965,0.2713183,0.0,0.003,82,-102,62,1
218742804,0,396809,0.26727542,-0.18444216,0.3391745,0.0,0.003,85,-73,84,1
219752118,0,396809,0.28542173,0.15725936,0.3391745,0.0,0.003,91,45,84,1
220751432,0,396809,0.20376334,0.2238622,0.3453433,0.0,0.003,64,68,86,1
221751799,0,396809,0.14630002,0.19490445,0.38235575,0.0,0.003,45,58,98,1
222757277,0,396809,0.08581232,0.18621711,0.40394637,0.0,0.003,25,55,105,1
223763441,0,396809,0.094885476,0.18332133,0.39777765,0.0,0.003,28,54,103,1
224760170,0,396809,0.10698302,0.18332133,0.3916089,0.0,0.003,32,54,101,1
225766324,0,396809,0.100934245,0.18621711,0.39777765,0.0,0.003,30,55,103,1
226763847,0,396809,0.10395864,0.18621711,0.400862,0.0,0.003,31,55,104,1
227769324,0,396809,0.09790986,0.18332133,0.3946933,0.0,0.003,29,54,102,1
228774437,0,396809,0.094885476,0.18621711,0.3946933,0.0,0.003,28,55,102,1
229772313,0,396809,0.10395864,0.18621711,0.3946933,0.0,0.003,31,55,102,1
230778451,0,396809,-0.12589465,0.11961427,0.41011515,0.0,0.003,-45,32,107,1
231784199,0,396809,-0.09565079,-0.30606475,0.2836558,0.0,0.003,-35,-115,66,1
232782888,0,396809,0.26727542,-0.2162957,0.30833077,0.0,0.003,85,-84,74,1
233787830,0,396809,0.04347093,-0.11494356,0.4286214,0.0,0.003,11,-49,113,1
234785433,0,396809,0.22493406,-0.2539408,0.29907763,0.0,0.003,71,-97,71,1
235784179,0,396809,0.17049511,-0.20181683,0.37618703,0.0,0.003,53,-79,96,1
236792141,0,396809,0.08278793,-0.22787881,0.3792714,0.0,0.003,24,-88,97,1
237786798,0,396809,0.10395864,-0.28000274,0.32683703,0.0,0.003,31,-106,80,1
238794779,0,396809,0.20073897,0.08776074,0.38544017,0.0,0.003,63,21,99,1
239793429,0,396809,0.1342025,0.25281996,0.34842765,0.0,0.003,41,78,87,1
240799126,0,396809,0.04347093,0.20359176,0.3946933,0.0,0.003,11,61,102,1
241797090,0,396809,0.025324617,0.2354453,0.3946933,0.0,0.003,5,72,102,1
242804858,0,396809,0.08883671,0.16594669,0.41011515,0.0,0.003,26,48,107,1
243804116,0,396809,0.03137339,0.1891129,0.40394637,0.0,0.003,7,56,105,1
