timestamp,total_written_kb,write_rate_kb_s,dropouts,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
388136508,10512.326,33.29443,15,2213,14336,0,3,120
389143427,10546.156,33.295395,15,3354,14336,0,3,120
390148033,10582.498,33.3045,15,1500,14336,0,3,120
391148118,10616.536,33.306793,15,1999,14336,0,3,120
392151899,10648.34,33.301697,15,3101,14336,0,3,120
393152344,10682.0,33.30277,15,2712,14336,0,3,120
394153013,10714.02,33.29871,15,2914,14336,0,3,120
395154265,10746.153,33.29497,15,3460,14336,0,3,120
396157409,10780.0,33.296356,15,2680,14336,0,3,120
397159868,10812.061,33.292297,15,4616,14336,0,3,120
398160898,10850.0,33.306454,15,1001,14336,0,3,120
399161891,10882.258,33.303146,15,3081,14336,0,3,120
400164458,10914.165,33.298626,15,5682,14336,0,3,120
401167217,10952.0205,33.312206,15,2790,14336,0,3,120
402169339,10984.121,33.30832,15,5406,14336,0,3,120
403174809,11022.049,33.32173,15,2563,14336,0,3,120
404179130,11054.397,33.318367,15,3013,14336,0,3,120
405181288,11088.0,33.319,15,2883,14336,0,3,120
406182761,11121.558,33.31957,15,2157,14336,0,3,120
407185792,11156.242,33.32335,15,1119,14336,0,3,120
408188147,11186.0,33.312496,15,4705,14336,0,3,120
409189345,11218.064,33.30867,15,5860,14336,0,3,120
410190861,11256.0,33.32222,15,1295,14336,0,3,120
411191017,11288.122,33.31866,15,3389,14336,0,3,120
412192028,11324.174,33.326607,15,1487,14336,0,3,120
413193000,11358.302,33.32886,15,1315,14336,0,3,120
414196468,11390.122,33.32411,15,4266,14336,0,3,120
415198947,11428.066,33.337345,15,880,14336,0,3,120
416201042,11460.058,33.333225,15,3082,14336,0,3,120
417204803,11494.0,33.33463,15,4062,14336,0,3,120
418205014,11526.114,33.33108,15,6298,14336,0,3,120
419206505,11564.0,33.34407,15,2369,14336,0,3,120
420207071,11596.224,33.340797,15,4878,14336,0,3,120
421208053,11632.193,33.34824,15,2404,14336,0,3,120
422209229,11666.001,33.349438,15,1952,14336,0,3,120
423212635,11698.376,33.34638,15,2872,14336,0,3,120
424216834,11732.0,33.346725,15,2135,14336,0,3,120
425223377,11764.004,33.342304,15,3762,14336,0,3,120
426224749,11797.075,33.341408,15,3520,14336,0,3,120
427224855,11830.0,33.340225,15,4288,14336,0,3,120
428226064,11866.046,33.347717,15,2581,14336,0,3,120
429227141,11900.0,33.349316,15,2870,14336,0,3,120
430227979,11932.124,33.34581,15,5301,14336,0,3,120
431229085,11970.0,33.358337,15,1606,14336,0,3,120
432233163,12002.148,33.354595,15,3914,14336,0,3,120
433234049,12039.049,33.36434,15,881,14336,0,3,120
434238730,12068.0,33.35171,15,5664,14336,0,3,120
435243209,12104.401,33.359703,15,2135,14336,0,3,120
