timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,id,is_powering_off,warning
150585169,11.102799,11.139905,50.778,50.777958,0.0,1052.7666,0.7951365,1.0286171,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
151585506,10.840401,11.058424,50.778,50.777958,0.0,1066.8756,0.7537871,1.034593,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
152585206,10.9224,10.902369,50.778,50.777958,0.0,1080.976,0.685154,1.0446666,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
153599054,10.873199,10.959441,50.778,50.777958,0.0,1095.2756,0.7091685,1.0411197,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
154595167,10.8076,10.869161,50.778,50.777958,0.0,1109.3259,0.67417294,1.0462967,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
155607404,10.512401,10.734341,50.778,50.777958,0.0,1123.6038,0.63175017,1.0526419,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
156605167,12.1032,11.312101,38.4772,44.786095,0.0,1136.5563,0.85116583,1.020629,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
157616456,11.594799,11.633956,50.778,48.30137,0.0,1149.8281,0.96453196,1.0048399,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
158619286,11.1684,11.359857,50.778,50.449596,0.0,1163.9729,0.8618403,1.0191212,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
159615767,11.250401,11.146883,50.778,50.73449,0.0,1178.0277,0.7802029,1.0307673,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
160626064,10.938799,11.049371,50.778,50.77239,0.0,1192.2778,0.7408243,1.0364807,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
161625166,11.2012,11.077881,50.778,50.777298,0.0,1206.3698,0.7520881,1.03484,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
162625169,11.3324,11.040151,50.778,50.777958,0.0,1220.475,0.73767334,1.0369406,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
163642085,10.512401,10.926878,50.778,50.777958,0.0,1234.8187,0.6912356,1.0437661,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
164645320,11.0946,10.838658,50.778,50.777958,0.0,1248.969,0.66772944,1.0472555,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
165645375,10.979799,10.842418,50.778,50.777958,0.0,1263.075,0.6575175,1.0487787,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
166645166,10.6764,10.791213,50.778,50.777958,0.0,1277.1771,0.63906485,1.0515423,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
167645336,10.774799,10.977054,50.778,50.777958,0.0,1291.2847,0.7097283,1.0410373,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
168645174,11.7424,11.350101,43.065197,49.75436,0.0,1305.2357,0.8528901,1.0203851,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
169645167,11.4307995,11.66241,50.778,45.596107,0.0,1317.2196,0.96898896,1.0042292,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
170645167,11.250401,11.43193,50.778,50.09082,0.0,1331.3243,0.88604313,1.0157188,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
171655762,11.316,11.410996,50.778,50.68873,0.0,1345.5785,0.8910938,1.0150118,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
172655469,11.4636,11.406221,50.778,50.766205,0.0,1359.6794,0.8866587,1.0156326,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
173657093,11.102799,11.331397,50.778,50.776478,0.0,1373.8066,0.8552156,1.0200564,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
174665167,11.0044,11.252736,50.778,50.777832,0.0,1388.0248,0.8267427,1.0240958,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
175666664,11.053599,11.087634,50.778,50.777958,0.0,1402.1511,0.75645214,1.0342058,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
176675176,10.7912,10.897687,50.778,50.777958,0.0,1416.3757,0.67240006,1.0465603,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
177675757,10.5944,10.781187,50.778,50.777958,0.0,1430.4891,0.6200848,1.0544001,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
178676080,11.2996,10.997227,50.778,50.777958,0.0,1444.5986,0.7118283,1.0407283,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
179675166,11.8244,11.380091,50.778,50.777958,0.0,1458.6907,0.85520893,1.0200574,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
180675166,11.2996,11.353418,50.778,50.777958,0.0,1472.7955,0.846983,1.021221,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
181675176,11.1192,11.220942,50.778,50.777958,0.0,1486.9008,0.79928833,1.0280209,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
182685264,11.102799,11.128127,50.778,50.777958,0.0,1501.1484,0.76672274,1.032716,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
183685167,10.8814,10.979739,50.778,50.777958,0.0,1515.2521,0.700697,1.0423682,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
184685454,10.5944,10.910999,50.778,50.777958,0.0,1529.3608,0.67296463,1.0464764,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
185685169,11.4307995,10.855867,50.778,50.777958,0.0,1543.4613,0.6499668,1.0499078,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
186685748,10.5616,10.857515,50.778,50.777958,0.0,1557.5746,0.6458741,1.0505208,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
187686245,10.610799,10.752861,50.778,50.777958,0.0,1571.687,0.59962565,1.0574981,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
188685167,10.938799,10.884477,50.778,50.777958,0.0,1585.7762,0.6520315,1.0495988,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
189685166,11.6276,11.291007,50.654,50.614548,0.0,1599.853,0.8095127,1.0265557,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
190685168,11.562,11.514419,50.778,50.46887,0.0,1613.7303,0.89874274,1.0139427,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
191695166,11.2996,11.403291,50.778,50.737865,0.0,1627.9764,0.8655954,1.0185919,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
192697095,11.2996,11.386321,50.778,50.772724,0.0,1642.1091,0.8608952,1.0192544,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
193697774,11.234,11.364795,50.778,50.777344,0.0,1656.2234,0.8504968,1.0207237,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
194696364,11.89,11.309324,50.778,50.777958,0.0,1670.308,0.82917076,1.02375,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
195696078,11.4964,11.296361,50.778,50.777958,0.0,1684.409,0.8233295,1.0245821,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
196695176,10.906,11.191103,50.778,50.777958,0.0,1698.5013,0.77892166,1.0309523,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
197708006,11.4472,11.362124,50.778,50.777958,0.0,1712.7876,0.84898764,1.0209372,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
198705989,11.102799,11.365064,50.778,50.777958,0.0,1726.8636,0.84103924,1.0220635,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
199705398,11.0372,11.235885,50.778,50.777958,0.0,1740.9602,0.7942291,1.0287476,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
200706993,11.2996,11.243136,50.778,50.777958,0.0,1755.0878,0.8017712,1.0276648,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
201705372,11.4636,11.327428,50.778,50.777958,0.0,1769.1698,0.8335567,1.0231261,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
202705205,11.4964,11.232112,50.778,50.777958,0.0,1783.2719,0.79740673,1.028291,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
203715166,10.6435995,11.075618,50.778,50.777958,0.0,1797.517,0.7332235,1.0375907,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
