timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
289402731,32767,32767,32767,32767,32767,32767
289407811,32767,32767,32767,2,-50,32767
289412717,32767,32767,32767,32767,32767,32767
289417816,32767,32767,32767,32767,-37,32767
289422939,32767,32767,32767,32767,32767,32767
289427807,32767,32767,32767,32767,-24,32767
289436807,32767,32767,32767,-13,32767,32767
289441738,32767,32767,32767,32767,-49,32767
289446795,32767,32767,32767,32767,32767,32767
289451732,32767,32767,32767,32767,-36,32767
289456943,32767,32767,32767,32767,32767,32767
289461732,32767,32767,32767,-24,-23,32767
289466722,32767,32767,32767,32767,32767,32767
289471822,32767,32767,32767,32767,32767,32767
289476714,32767,32767,32767,32767,-55,32767
289480806,32767,32767,32767,32767,32767,32767
289485724,32767,32767,32767,-10,-33,32767
289490847,32767,32767,32767,32767,32767,32767
289495734,32767,32767,32767,32767,-13,32767
289500791,32767,32767,32767,32767,32767,32767
289505726,32767,32767,32767,32767,32767,32767
289510814,32767,32767,32767,-19,-51,32767
289515725,32767,32767,32767,32767,32767,32767
289519810,32767,32767,32767,32767,-26,32767
289524725,32767,32767,32767,32767,32767,32767
289529811,32767,32767,32767,32767,-9,32767
289534744,32767,32767,32767,-3,32767,32767
289539798,32767,32767,32767,32767,32767,32767
289544732,32767,32767,32767,32767,-45,32767
289549804,32767,32767,32767,32767,32767,32767
289554728,32767,32767,32767,32767,-29,32767
289559832,32767,32767,32767,2,32767,32767
289563828,32767,32767,32767,32767,32767,32767
289568727,32767,32767,32767,32767,-56,32767
289573728,32767,32767,32767,32767,32767,32767
289578882,32767,32767,32767,32767,-43,32767
289583805,32767,32767,32767,32767,32767,32767
289588714,32767,32767,32767,-37,-29,32767
289593807,32767,32767,32767,32767,32767,32767
289598714,32767,32767,32767,32767,-16,32767
289602791,32767,32767,32767,32767,32767,32767
289607727,32767,32767,32767,32767,32767,32767
289612803,32767,32767,32767,-20,-44,32767
289617723,32767,32767,32767,32767,32767,32767
289622809,32767,32767,32767,32767,-25,32767
289627723,32767,32767,32767,32767,32767,32767
289632819,32767,32767,32767,32767,-7,32767
289637732,32767,32767,32767,-10,32767,32767
289641811,32767,32767,32767,32767,32767,32767
289646739,32767,32767,32767,32767,-33,32767
289651811,32767,32767,32767,32767,32767,32767
289656714,32767,32767,32767,32767,-19,32767
289661804,32767,32767,32767,-6,32767,32767
289666733,32767,32767,32767,32767,-6,32767
289671829,32767,32767,32767,32767,32767,32767
289676800,32767,32767,32767,32767,32767,32767
289680801,32767,32767,32767,32767,-34,32767
289685741,32767,32767,32767,32767,32767,32767
289690799,32767,32767,32767,-30,-20,32767
289695727,32767,32767,32767,32767,32767,32767
289701013,32767,32767,32767,32767,-10,32767
289705726,32767,32767,32767,32767,32767,32767
289710042,32767,32767,32767,32767,32767,32767
289713714,32767,32767,32767,-16,-23,32767
289717714,32767,32767,32767,32767,32767,32767
289721751,32767,32767,32767,32767,32767,32767
289725851,32767,32767,32767,32767,-25,32767
289729793,32767,32767,32767,32767,32767,32767
289734846,32767,32767,32767,32767,32767,32767
289739803,32767,32767,32767,-27,-50,32767
289744720,32767,32767,32767,32767,32767,32767
289749793,32767,32767,32767,32767,-36,32767
289754739,32767,32767,32767,32767,32767,32767
289759822,32767,32767,32767,32767,-23,32767
289763814,32767,32767,32767,-17,32767,32767
289768735,32767,32767,32767,32767,32767,32767
289773810,32767,32767,32767,32767,-50,32767
289778724,32767,32767,32767,32767,32767,32767
289783793,32767,32767,32767,32767,-36,32767
289788724,32767,32767,32767,-5,32767,32767
289793814,32767,32767,32767,32767,-24,32767
289798818,32767,32767,32767,32767,32767,32767
289802819,32767,32767,32767,32767,32767,32767
289807726,32767,32767,32767,32767,-49,32767
289812801,32767,32767,32767,32767,32767,32767
289817717,32767,32767,32767,-38,-36,32767
289823043,32767,32767,32767,32767,32767,32767
289827728,32767,32767,32767,32767,-23,32767
289832800,32767,32767,32767,32767,32767,32767
289837812,32767,32767,32767,32767,-9,32767
289841819,32767,32767,32767,-29,32767,32767
289846724,32767,32767,32767,32767,32767,32767
289851803,32767,32767,32767,32767,-36,32767
289856864,32767,32767,32767,32767,32767,32767
289861751,32767,32767,32767,32767,-23,32767
289866719,32767,32767,32767,-29,32767,32767
289871811,32767,32767,32767,32767,32767,32767
289876714,32767,32767,32767,32767,-55,32767
289880800,32767,32767,32767,32767,32767,32767
289885735,32767,32767,32767,32767,-30,32767
289890842,32767,32767,32767,-17,32767,32767
289895749,32767,32767,32767,32767,-13,32767
289900806,32767,32767,32767,32767,32767,32767
289905717,32767,32767,32767,32767,32767,32767
289910808,32767,32767,32767,32767,-50,32767
289915734,32767,32767,32767,-10,32767,32767
289919834,32767,32767,32767,32767,-27,32767
289924737,32767,32767,32767,32767,32767,32767
289929808,32767,32767,32767,32767,-14,32767
289934721,32767,32767,32767,32767,32767,32767
289939832,32767,32767,32767,-6,32767,32767
289944721,32767,32767,32767,32767,-49,32767
289949813,32767,32767,32767,32767,32767,32767
289954729,32767,32767,32767,32767,-30,32767
289958813,32767,32767,32767,32767,32767,32767
289963741,32767,32767,32767,32767,32767,32767
289968794,32767,32767,32767,-35,-56,32767
289973728,32767,32767,32767,32767,32767,32767
289978982,32767,32767,32767,32767,-45,32767
289983733,32767,32767,32767,32767,32767,32767
289988017,32767,32767,32767,32767,-19,32767
289991726,32767,32767,32767,-16,32767,32767
289995712,32767,32767,32767,32767,32767,32767
289999731,32767,32767,32767,32767,-23,32767
290003773,32767,32767,32767,32767,32767,32767
290007723,32767,32767,32767,32767,32767,32767
290012876,32767,32767,32767,32767,-38,32767
290017726,32767,32767,32767,-25,32767,32767
290022791,32767,32767,32767,32767,-23,32767
290027724,32767,32767,32767,32767,32767,32767
290032816,32767,32767,32767,32767,-7,32767
290037733,32767,32767,32767,32767,32767,32767
290041735,32767,32767,32767,-10,32767,32767
290046746,32767,32767,32767,32767,-33,32767
290051839,32767,32767,32767,32767,32767,32767
290056714,32767,32767,32767,32767,-19,32767
290061799,32767,32767,32767,32767,32767,32767
290066729,32767,32767,32767,-6,-6,32767
290071808,32767,32767,32767,32767,32767,32767
290076808,32767,32767,32767,32767,32767,32767
290080814,32767,32767,32767,32767,-34,32767
290085731,32767,32767,32767,32767,32767,32767
290090801,32767,32767,32767,2,-21,32767
290095714,32767,32767,32767,32767,32767,32767
290101061,32767,32767,32767,32767,-9,32767
290105726,32767,32767,32767,32767,32767,32767
290110809,32767,32767,32767,32767,32767,32767
290115724,32767,32767,32767,32767,-43,32767
290119809,32767,32767,32767,-29,32767,32767
290124719,32767,32767,32767,32767,-19,32767
290129803,32767,32767,32767,32767,32767,32767
290134913,32767,32767,32767,32767,-8,32767
290139822,32767,32767,32767,32767,32767,32767
290144719,32767,32767,32767,-29,32767,32767
