timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
81115799,0.95624626,-0.08060511,-0.08440974,-0.2682741,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81167725,0.95284635,-0.08123519,-0.0803008,-0.2811343,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81218737,0.9491418,-0.0831412,-0.07650587,-0.293878,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81271817,0.94490504,-0.08553453,-0.07424357,-0.30712596,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81323724,0.94047904,-0.088228256,-0.072847456,-0.32001296,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81374738,0.93580776,-0.09242643,-0.07057407,-0.33277726,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81423941,0.93135,-0.095299155,-0.067499384,-0.34488982,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81479726,0.9259744,-0.09860047,-0.06532168,-0.35858402,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81530816,0.9204419,-0.10354832,-0.06561721,-0.37115875,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81579863,0.915171,-0.10686881,-0.064363375,-0.38327324,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81632719,0.90969956,-0.10811768,-0.062780745,-0.3959998,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81690829,0.90332407,-0.111638024,-0.06272141,-0.4094005,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81739806,0.89816093,-0.11416193,-0.061746415,-0.42007315,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81793728,0.893056,-0.114791,-0.060311466,-0.43085566,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81846731,0.8881161,-0.1177075,-0.05927649,-0.44031936,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81895714,0.88378364,-0.12079607,-0.059631,-0.44808355,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81949724,0.87968695,-0.12237956,-0.05898959,-0.45573494,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81997933,0.8762087,-0.12467109,-0.058126707,-0.46188405,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82052812,0.87262654,-0.12614846,-0.05692571,-0.46836862,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82105791,0.86991966,-0.126036,-0.05400012,-0.47374973,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82153928,0.86788577,-0.12565766,-0.053889073,-0.47757766,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82207801,0.8658153,-0.12510775,-0.054855205,-0.48135534,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82256714,0.86443526,-0.1246968,-0.053451974,-0.48409227,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82309773,0.8625961,-0.12648566,-0.05531666,-0.48669255,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82358721,0.8608269,-0.13046013,-0.05834723,-0.48841876,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82414725,0.8593474,-0.13473703,-0.05956434,-0.4897144,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82465716,0.85844815,-0.13819519,-0.062523015,-0.4899589,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82514733,0.85793734,-0.14038996,-0.06662357,-0.48968932,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82568811,0.8581726,-0.13951303,-0.06871661,-0.48923814,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
