timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
477669091,0.19771457,0.055907212,0.40394637
477680967,0.19771457,0.053011432,0.40394637
477692231,0.19771457,0.053011432,0.400862
477703514,0.19771457,0.055907212,0.40394637
477714894,0.1946902,0.053011432,0.40394637
477726211,0.19771457,0.055907212,0.39777765
477737500,0.20073897,0.053011432,0.40394637
477748875,0.20073897,0.055907212,0.4070308
477760151,0.19771457,0.055907212,0.400862
477771496,0.19771457,0.053011432,0.40394637
477782851,0.19771457,0.055907212,0.400862
477794116,0.20073897,0.055907212,0.4070308
477805434,0.19771457,0.058802985,0.4070308
477816994,0.19771457,0.055907212,0.39777765
477828270,0.20073897,0.055907212,0.40394637
477839998,0.20376334,0.055907212,0.4070308
477851841,0.20073897,0.055907212,0.39777765
477863114,0.20376334,0.053011432,0.41011515
477874431,0.20376334,0.053011432,0.40394637
477885868,0.20376334,0.055907212,0.400862
477897130,0.19771457,0.058802985,0.40394637
477908428,0.19771457,0.055907212,0.400862
477919793,0.20073897,0.055907212,0.40394637
477931183,0.20376334,0.061698765,0.40394637
477942940,0.20073897,0.058802985,0.40394637
477954221,0.20073897,0.061698765,0.39777765
477965783,0.19771457,0.058802985,0.400862
477977182,0.20376334,0.061698765,0.40394637
477988503,0.20376334,0.061698765,0.400862
478000085,0.20376334,0.061698765,0.39777765
478011353,0.20073897,0.058802985,0.400862
478023024,0.20376334,0.058802985,0.400862
478034297,0.20376334,0.061698765,0.40394637
478046032,0.20376334,0.061698765,0.3946933
478057356,0.20073897,0.058802985,0.39777765
478069111,0.20073897,0.058802985,0.3916089
478081101,0.20678774,0.058802985,0.40394637
478092429,0.20376334,0.061698765,0.4070308
478104369,0.20376334,0.061698765,0.39777765
478116271,0.20376334,0.06459454,0.3916089
478127777,0.20376334,0.061698765,0.40394637
478139229,0.20376334,0.061698765,0.400862
478151099,0.20678774,0.061698765,0.40394637
478162438,0.20376334,0.058802985,0.3916089
478173863,0.20376334,0.055907212,0.40394637
478185146,0.20376334,0.061698765,0.400862
478196454,0.20678774,0.061698765,0.40394637
478207805,0.20376334,0.06459454,0.39777765
478219180,0.20073897,0.061698765,0.39777765
478230478,0.20376334,0.06459454,0.400862
478241887,0.20073897,0.061698765,0.400862
478253169,0.20981212,0.058802985,0.3946933
478264464,0.20376334,0.061698765,0.40394637
478275792,0.20376334,0.058802985,0.400862
478287436,0.20678774,0.058802985,0.400862
478299254,0.20981212,0.055907212,0.40394637
478310739,0.2128365,0.055907212,0.39777765
478322110,0.2128365,0.058802985,0.39777765
478333973,0.2128365,0.058802985,0.3916089
478345324,0.2128365,0.058802985,0.39777765
478356851,0.2128365,0.058802985,0.3916089
478368116,0.2128365,0.055907212,0.39777765
478379433,0.2128365,0.053011432,0.400862
478390868,0.2128365,0.053011432,0.39777765
478402125,0.2128365,0.055907212,0.3946933
478413433,0.21586089,0.058802985,0.3946933
478425322,0.20981212,0.058802985,0.400862
478437147,0.20376334,0.061698765,0.39777765
478448436,0.20376334,0.061698765,0.40394637
478460789,0.20376334,0.061698765,0.39777765
478472128,0.20376334,0.061698765,0.39777765
478483431,0.20376334,0.06459454,0.39777765
478494849,0.20073897,0.06749031,0.3916089
478506113,0.19771457,0.06459454,0.39777765
478517431,0.20376334,0.06459454,0.39777765
478528791,0.20376334,0.06459454,0.400862
478540199,0.20073897,0.06749031,0.400862
478551475,0.20376334,0.07038609,0.400862
478563145,0.20678774,0.07038609,0.40394637
478574467,0.20376334,0.06749031,0.40394637
478586264,0.20678774,0.06459454,0.39777765
478597888,0.20376334,0.06459454,0.39777765
478609765,0.20678774,0.061698765,0.3946933
478621164,0.20678774,0.06459454,0.400862
478632441,0.20678774,0.06459454,0.40394637
478644088,0.20678774,0.06459454,0.400862
478655361,0.20678774,0.061698765,0.3946933
478667104,0.20678774,0.058802985,0.400862
478678432,0.20678774,0.058802985,0.400862
478690123,0.2128365,0.058802985,0.400862
478701432,0.2128365,0.061698765,0.400862
478712862,0.20981212,0.055907212,0.3946933
478724147,0.20376334,0.053011432,0.3916089
478735433,0.20678774,0.055907212,0.39777765
478747108,0.20981212,0.055907212,0.400862
478759066,0.20981212,0.055907212,0.41011515
478770327,0.20981212,0.055907212,0.40394637
478781851,0.20678774,0.053011432,0.40394637
478793123,0.20678774,0.053011432,0.4070308
478804429,0.20981212,0.053011432,0.40394637
478815824,0.20981212,0.055907212,0.400862
478827202,0.20981212,0.053011432,0.4131995
478838466,0.20981212,0.053011432,0.40394637
478849858,0.2128365,0.05011566,0.39777765
478861114,0.20981212,0.05011566,0.40394637
478872428,0.21586089,0.05011566,0.39777765
478884068,0.2128365,0.053011432,0.39777765
478895429,0.2128365,0.05011566,0.3946933
478907226,0.2128365,0.05011566,0.39777765
478918510,0.2128365,0.047219884,0.3916089
478929802,0.21586089,0.047219884,0.400862
478941105,0.2128365,0.047219884,0.3916089
478952439,0.2128365,0.05011566,0.40394637
478963799,0.2128365,0.047219884,0.4070308
478975222,0.20981212,0.05011566,0.3916089
478986509,0.20981212,0.05011566,0.39777765
478997881,0.20981212,0.05011566,0.40394637
479009317,0.20981212,0.053011432,0.40394637
479021004,0.20678774,0.053011432,0.40394637
479032291,0.20678774,0.05011566,0.4070308
479043776,0.20981212,0.05011566,0.40394637
479055221,0.20981212,0.05011566,0.40394637
479066501,0.20981212,0.05011566,0.40394637
479077860,0.20981212,0.05011566,0.39777765
479089172,0.2128365,0.053011432,0.39777765
479100467,0.20981212,0.053011432,0.3946933
479111817,0.21586089,0.053011432,0.3946933
479123179,0.21888527,0.053011432,0.39777765
479134443,0.21888527,0.055907212,0.39777765
479145855,0.21586089,0.055907212,0.3946933
479157175,0.21586089,0.055907212,0.3916089
479168457,0.21586089,0.055907212,0.3946933
479180105,0.21888527,0.053011432,0.3946933
479191437,0.21888527,0.055907212,0.400862
479202991,0.21586089,0.055907212,0.3946933
479214428,0.2128365,0.053011432,0.39777765
479225793,0.21586089,0.053011432,0.3946933
479237264,0.21586089,0.055907212,0.400862
479248746,0.21586089,0.055907212,0.39777765
479260444,0.2128365,0.05011566,0.39777765
479272074,0.2128365,0.053011432,0.3946933
479283343,0.21586089,0.053011432,0.3946933
479294866,0.2128365,0.053011432,0.3946933
479306138,0.2128365,0.055907212,0.40394637
479317432,0.20981212,0.053011432,0.400862
479328994,0.20981212,0.05011566,0.3946933
479340271,0.2128365,0.047219884,0.4070308
479352020,0.20981212,0.05011566,0.4070308
479363501,0.2128365,0.047219884,0.40394637
