timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
465512710,465512551,-0.0007878179,0.073367104,0.07356178,0.5503386,0.0,0.0,0.0,-1.0
465615687,465615556,-0.025840592,0.044168346,0.07923532,0.56304747,0.0,0.0,0.0,-1.0
465716705,465716562,-0.02710298,0.077493384,0.08042947,0.56929994,0.0,0.0,0.0,-1.0
465818691,465818560,-0.025074437,0.05589634,0.08104927,0.5727064,0.0,0.0,0.0,-1.0
465921696,465921560,-0.040480822,0.07481719,0.08325836,0.5673054,0.0,0.0,0.0,-1.0
466025696,466025555,-0.024248922,0.07231247,0.08490315,0.5598862,0.0,0.0,0.0,-1.0
466126686,466126555,-0.01044932,0.054343052,0.09221763,0.5597853,0.0,0.0,0.0,-1.0
466229691,466229560,-0.049921967,0.047000248,0.08382741,0.5616798,0.0,0.0,0.0,-1.0
466332699,466332550,-0.042006705,0.06852376,0.090276964,0.56103307,0.0,0.0,0.0,-1.0
466434685,466434551,-0.015299971,0.062972605,0.0909592,0.5584363,0.0,0.0,0.0,-1.0
466536853,466536716,-0.02164468,0.047644455,0.08719913,0.5587791,0.0,0.0,0.0,-1.0
466637688,466637549,-0.056674823,0.06313284,0.085342914,0.5566608,0.0,0.0,0.0,-1.0
466737696,466737549,-0.023606624,0.049399815,0.08366389,0.5605966,0.0,0.0,0.0,-1.0
466840685,466840554,-0.030052848,0.048350766,0.0880235,0.5623067,0.0,0.0,0.0,-1.0
466941701,466941567,-0.024044052,0.0754921,0.08843985,0.56382585,0.0,0.0,0.0,-1.0
467043709,467043569,-0.029475369,0.06016317,0.09354318,0.5806351,0.0,0.0,0.0,-1.0
467147715,467147577,-0.0004511103,0.07745537,0.09771041,0.58803684,0.0,0.0,0.0,-1.0
467249687,467249551,-0.00793292,0.061199177,0.09195949,0.59162045,0.0,0.0,0.0,-1.0
467351704,467351559,-0.00062537007,0.050924864,0.09945573,0.5924679,0.0,0.0,0.0,-1.0
467452697,467452558,-0.026792264,0.06160641,0.10419795,0.6009414,0.0,0.0,0.0,-1.0
467556707,467556560,-0.0343184,0.08550744,0.10281704,0.60485643,0.0,0.0,0.0,-1.0
467659693,467659550,-0.06765821,0.08102587,0.09457871,0.6009486,0.0,0.0,0.0,-1.0
467761808,467761669,-0.053893078,0.06192988,0.09367516,0.59665227,0.0,0.0,0.0,-1.0
467862683,467862551,-0.048242267,0.07647998,0.08672638,0.5931478,0.0,0.0,0.0,-1.0
467962917,467962784,-0.03438676,0.06240595,0.08341308,0.5891058,0.0,0.0,0.0,-1.0
468064704,468064560,-0.048676025,0.0503463,0.08368508,0.59193486,0.0,0.0,0.0,-1.0
468166692,468166560,-0.037940796,0.064344905,0.07913785,0.5920026,0.0,0.0,0.0,-1.0
468268697,468268558,-0.04525403,0.041294977,0.070987016,0.590139,0.0,0.0,0.0,-1.0
468370691,468370551,-0.036026925,0.08389509,0.06981014,0.59052056,0.0,0.0,0.0,-1.0
468471698,468471567,-0.024924994,0.06908943,0.07126323,0.58525854,0.0,0.0,0.0,-1.0
468571692,468571558,-0.029132418,0.068680905,0.06915953,0.5838396,0.0,0.0,0.0,-1.0
468674826,468674695,-0.016617395,0.065553315,0.067462906,0.58030146,0.0,0.0,0.0,-1.0
468775683,468775549,-0.03206578,0.07713534,0.07181103,0.5786272,0.0,0.0,0.0,-1.0
468878708,468878560,-0.023483837,0.059322342,0.07244825,0.57500076,0.0,0.0,0.0,-1.0
