timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
77816856,15961736,32.387893700000006,-117.0745242,-0.05588067,-0.26962486,0.39724922,0.0075267805,0.009844232,0.0,0.08821451,0.28595918,-1.2213187,-1.0127186,0.091324784,0.04797906,-0.06365676,-1.2148701,-0.47723806,-1.0386499,-0.27896997,21.878475,0.9054183,0.3853704,0.24617174,0.17887834,0.10541676,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
77919810,15961736,32.387893700000006,-117.0745242,-0.032396432,-0.23719774,0.30235192,0.0075267805,0.009844232,0.0,0.093646005,0.2531762,-1.269808,-1.0468404,0.091324784,0.04797906,-0.06365676,-0.03310288,-1.2025989,-0.10815229,-0.27715537,21.878475,1.0003155,0.37400064,0.24411061,0.17528239,0.10460686,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
78021800,15961736,32.387893700000006,-117.0745242,-0.0106613785,-0.20718907,0.1884402,0.0075267805,0.009844232,0.0,0.08090077,0.22040579,-1.2786504,-1.0462053,0.091324784,0.04797906,-0.06365676,-0.6942872,0.4574161,-0.25180525,-0.27578726,21.878475,1.1142273,0.3628942,0.24381793,0.17126958,0.104223885,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
78123733,15961736,32.387893700000006,-117.0745242,0.007214785,-0.18397303,0.090097316,0.0075267805,0.009844232,0.0,0.072506376,0.17743772,-1.3033086,-1.0657867,0.091324784,0.04797906,-0.06365676,-0.09042611,-0.88449156,-1.5510126,-0.27553236,21.878475,1.2125702,0.37385455,0.24532805,0.1755682,0.10508964,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
78226725,15961736,32.387893700000006,-117.0745242,0.02128698,-0.16331968,-0.020152673,0.0075267805,0.009844232,0.0,0.03879594,0.15800828,-1.3274431,-1.0919514,0.091324784,0.04797906,-0.06365676,0.023008259,-1.6657414,-1.1343207,-0.27533302,21.878475,1.3228202,0.38793743,0.24655852,0.18201208,0.105756946,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
78323783,15961736,32.387893700000006,-117.0745242,0.0315825,-0.12933025,-0.12176252,0.0075267805,0.009844232,0.0,0.016362118,0.13351204,-1.3598648,-1.126368,0.091324784,0.04797906,-0.06365676,-0.16765848,-2.37686,-0.51124763,-0.27660108,21.878475,1.42443,0.37627444,0.24448305,0.17729443,0.104969196,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
78430797,15961736,32.387893700000006,-117.0745242,0.036822107,-0.10130623,-0.24867563,0.0075267805,0.009844232,0.0,-0.022146977,0.11533028,-1.3867306,-1.1610852,0.091324784,0.04797906,-0.06365676,-0.38370702,-0.22107707,-0.79458106,-0.2744313,21.878475,1.5513431,0.36469665,0.2439525,0.17234436,0.1045605,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
78528874,15961736,32.387893700000006,-117.0745242,0.03768751,-0.08242927,-0.3743729,0.0075267805,0.009844232,0.0,-0.041584812,0.07916557,-1.4081377,-1.1904646,0.091324784,0.04797906,-0.06365676,0.5572871,-0.29656848,-0.17823233,-0.26951706,21.878475,1.6770403,0.37624526,0.24578393,0.17681858,0.10547458,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
78626025,15961736,32.387893700000006,-117.0745242,0.03601246,-0.069089465,-0.49812105,0.0075267805,0.009844232,0.0,-0.051310893,0.033631347,-1.3966662,-1.1844108,0.091324784,0.04797906,-0.06365676,0.097182155,-2.111672,-0.82772875,-0.2845482,21.878475,1.8007885,0.3891166,0.24624681,0.1803477,0.10595198,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
78728793,15961736,32.387893700000006,-117.0745242,0.02568508,-0.054278903,-0.6377493,0.0075267805,0.009844232,0.0,-0.081887335,0.000450666,-1.4019247,-1.2063737,0.091324784,0.04797906,-0.06365676,-0.14285135,-0.6640218,0.41959435,-0.28430843,21.878475,1.9404168,0.3770846,0.24604902,0.17280681,0.10570892,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
78835728,15961736,32.387893700000006,-117.0745242,0.01352382,-0.045154843,-0.7841075,0.0075267805,0.009844232,0.0,-0.10400368,-0.019469723,-1.3950775,-1.2170833,0.091324784,0.04797906,-0.06365676,-0.41447833,-0.5636141,-0.86231214,-0.28377157,21.878475,2.086775,0.36567616,0.24392743,0.17095795,0.104995266,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
78937925,15961736,32.387893700000006,-117.0745242,-0.0015733466,-0.036009762,-0.9110393,0.0075267805,0.009844232,0.0,-0.1305189,-0.027255474,-1.3699123,-1.1970956,0.091324784,0.04797906,-0.06365676,-0.26733354,-1.7597381,-0.030405432,-0.2862038,21.878475,2.2137067,0.3774519,0.2444736,0.18275927,0.10574328,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
79039814,15961736,32.387893700000006,-117.0745242,-0.018681016,-0.033449907,-1.0292907,0.0075267805,0.009844232,0.0,-0.15011139,-0.057956778,-1.3100837,-1.1398327,0.091324784,0.04797906,-0.06365676,-0.1969237,-0.47783732,2.2224474,-0.2877606,21.878475,2.3319583,0.36541232,0.24387151,0.18771298,0.10541558,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
79137793,15961736,32.387893700000006,-117.0745242,-0.038374837,-0.041170336,-1.142809,0.0075267805,0.009844232,0.0,-0.16779642,-0.07524019,-1.236271,-1.0776975,0.091324784,0.04797906,-0.06365676,-0.17768387,-1.8630884,0.21628527,-0.28295904,21.878475,2.4454765,0.37740383,0.2446879,0.20566912,0.106041424,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
79239793,15961736,32.387893700000006,-117.0745242,-0.060324706,-0.048703518,-1.2748647,0.0075267805,0.009844232,0.0,-0.18548855,-0.115336195,-1.1751914,-1.0433758,0.091324784,0.04797906,-0.06365676,-0.019756135,-1.6054287,0.6100399,-0.27530757,21.878475,2.5775323,0.36504233,0.24376325,0.21117966,0.1056591,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
79347009,15961736,32.387893700000006,-117.0745242,-0.08395662,-0.04994114,-1.3979298,0.0075267805,0.009844232,0.0,-0.19279908,-0.11732761,-1.0019337,-0.8951724,0.091324784,0.04797906,-0.06365676,-0.49774563,-2.1927621,0.8048103,-0.2659936,21.878475,2.7005973,0.37790623,0.24498205,0.23203713,0.10646543,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
